Temperatura,Cv,Chi,Magnetizacion,Energia
2.315699942545245804e+00,1.830059737295727684e+00,2.102896906819009359e+01,5.260867968750000401e-01,-1.349448593750000036e+00
2.327334530307382909e+00,1.810245281128823214e+00,2.110717005735332918e+01,4.705216015625000026e-01,-1.320065078125000069e+00
2.340261850043090952e+00,1.769520477670620151e+00,2.136899484389834214e+01,4.465364843749999868e-01,-1.301153984374999961e+00
2.354481901752370376e+00,1.509928676609080922e+00,1.986718187597197627e+01,3.935872265625000033e-01,-1.270903828125000024e+00
2.369994685435219850e+00,1.486094270632101644e+00,1.883998882096070560e+01,3.799935546875000125e-01,-1.255342187499999929e+00
2.386800201091640261e+00,1.352867573260384315e+00,1.766752888677393685e+01,3.273492968749999732e-01,-1.228127734374999891e+00
2.404898448721632054e+00,1.309381258725617725e+00,1.659577907132019448e+01,3.101708593749999965e-01,-1.211917031250000054e+00
2.424289428325193896e+00,1.175884701870500537e+00,1.392609133024784107e+01,2.822738671875000271e-01,-1.185619999999999896e+00
2.444973139902327119e+00,1.051672171961128610e+00,1.180037772422969233e+01,2.560458593750000178e-01,-1.162320390624999922e+00
2.466949583453030836e+00,9.708147537058567922e-01,1.058161382055263999e+01,2.353300390624999960e-01,-1.139677656249999949e+00
2.490218758977305491e+00,8.939494884555672094e-01,8.365862790564413842e+00,2.062074218749999910e-01,-1.115255859374999936e+00
2.514780666475151083e+00,8.761036630454790419e-01,7.478677691225880331e+00,1.868361718750000122e-01,-1.090546640624999952e+00
2.540635305946567613e+00,7.777169155740119022e-01,7.664865372654662501e+00,1.982652343749999879e-01,-1.079613281249999890e+00
2.567782677391554191e+00,7.496414486373973451e-01,6.309446613703111773e+00,1.784378906250000119e-01,-1.054829687500000057e+00
2.596222780810112152e+00,7.522345354494004432e-01,4.672370168213625163e+00,1.660996093750000124e-01,-1.036048437500000086e+00
2.625955616202241050e+00,6.747765840907107293e-01,4.792039055592558938e+00,1.499433593750000016e-01,-1.008931250000000057e+00
2.656981183567940441e+00,6.802742346125936201e-01,3.870076812349412254e+00,1.194820312499999954e-01,-9.884851562499999966e-01
2.689299482907210770e+00,6.295118035007076784e-01,4.027614434980891112e+00,1.375675781250000063e-01,-9.730046875000000206e-01
2.722910514220052036e+00,5.710251585662233786e-01,2.453347564164610528e+00,1.132312500000000055e-01,-9.501804687499999513e-01
2.757814277506463796e+00,5.239992051352300173e-01,2.483780014924412249e+00,1.085707031250000010e-01,-9.276101562499999842e-01
2.794010772766446493e+00,5.272877924897925173e-01,2.052484392952330872e+00,9.827617187499999851e-02,-9.089515624999999766e-01
2.831500000000000128e+00,5.183036525997595234e-01,2.126420459782781602e+00,9.945859375000000446e-02,-8.917890625000000071e-01
